username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,hora_rep,followers_diff,clase
GoOutsideBot,772,0,29,0,4034,6,1,0.0,0.0,0.0,0.0,0.5192307692307693,-29,bot
iDgitalHeroGame,312,0,3,274,604,5,0,0.0,0.0,0.07142857142857142,0.0,0.35714285714285715,-3,bot
PixelzAIArtist,3907,0,2317,2877,52024,125,12767,0.18604651162790697,1.1395348837209303,4.627906976744186,0.37209302325581395,0.3023255813953488,-2317,bot
JohnBran16,382,0,5,113,18,0,9,0.0,0.0,0.0,0.0,0.2857142857142857,-5,bot
The_King_Capper,559,0,1008,3148,215,0,19,0.04081632653061224,0.7959183673469388,1.0612244897959184,0.02040816326530612,0.12244897959183673,-1008,bot
AnhDangSSS,801,0,30,717,572,2,145,0.0,0.0,0.0,0.0,0.13333333333333333,-30,bot
_AlexisColin_,115,0,702,620,29021,1,1772,0.11764705882352941,0.17647058823529413,1.9411764705882353,0.0,0.11764705882352941,-702,bot
just4girls1,48,0,505,643,31200,52,108,0.11363636363636363,0.0,0.25,0.0,0.13636363636363635,-505,bot
wildflowersbot,15,0,704,0,20375,74,20371,0.0,1.0,3.0,0.0,1.0,-704,bot
Shakshi_Shah,264,0,1228,919,86794,60,1664,0.07407407407407407,0.14814814814814814,0.7777777777777778,0.0,0.18518518518518517,-1228,bot
francoliu21,289,0,25,237,5118,0,9,0.3269230769230769,0.038461538461538464,1.4807692307692308,0.019230769230769232,0.11538461538461539,-25,bot
lesleyravet,73,0,22,126,1487,0,0,0.0625,0.0625,0.625,0.0,0.25,-22,bot
masri_amanda,739,0,47,135,2965,0,1,0.125,0.25,0.375,0.0,0.25,-47,bot
BlackthornStem,197,0,570,2364,11730,12,307,0.3333333333333333,0.022222222222222223,0.37777777777777777,0.0,0.24444444444444444,-570,bot
LupoLupo14,120,0,40,9,3330,0,14,0.0,0.0,0.0,0.0,1.0,-40,bot
AlexandraFansWW,639,0,428,541,525,2,55,1.4411764705882353,4.5,19.5,0.20588235294117646,0.23529411764705882,-428,bot
genrenator,155,0,30,0,1832,4,0,0.0,0.0,0.0,0.0,1.0,-30,bot
dakoko25,46,0,180,300,7555,7,90,0.02040816326530612,0.0,0.02040816326530612,0.0,0.10204081632653061,-180,bot
MTV,836,1,17621756,29933,311122,27695,52249,9.8,81.72,478.56,5.84,0.16,-17621755,bot
