username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,followers_diff,clase
AislanLeal,2.0,False,3080,4588,3041,2,304,0.0,0.0,2.0,0.0,-1508,bot
AjaygoudPudari,10.0,False,75,1343,371,0,23,0.0,0.0,0.3333333333333333,0.0,-1268,human
Ajirew,41.0,False,33,1825,331,0,1,0.0571428571428571,0.0,0.3142857142857143,0.0,-1792,bot
AjishPJoy,13.0,False,259,421,3386,2,50,0.0,0.0,0.1111111111111111,0.0,-162,human
AjithKamathM,15.0,False,39,173,39,0,6,0.25,0.0,0.75,0.0,-134,human
Akanbisamson6,3.0,False,96,898,12,4,1,0.0,0.0,0.3333333333333333,0.0,-802,bot
Akinesitianna,8.0,False,153,70,5267,1,39,0.1428571428571428,0.0,0.0714285714285714,0.0,83,human
Akshsoccerfreak,1.0,False,65,340,5605,0,5,0.0,0.0,0.0,0.0,-275,bot
AlJazeera,29.0,True,665924,21,14147,2714,1083,10.625,14.25,47.75,1.0,665903,human
Al_Farabi24,12.0,False,18,260,126,1,28,0.0,0.1818181818181818,3.4545454545454546,0.0,-242,human
AlabamaWater,31.0,False,717,312,2285,5,244,0.5555555555555556,1.6666666666666667,4.0,0.2222222222222222,405,human
AlabedBana,9.0,True,273179,199,1268,1165,384,11.666666666666666,40.11111111111112,264.44444444444446,3.111111111111111,272980,human
AlagaSoji,0.0,False,193,696,10,0,1,0.0,0.0,0.0,0.0,-503,human
AlamerShareefa,4.0,False,16,58,19,1,0,0.0,0.0,0.0,0.0,-42,human
Alamifatima2004,3.0,False,965,4977,5551,2,157,0.0,0.5,0.0,0.0,-4012,human
AlanSullivanMBA,11.0,False,20296,18750,3569,126,214,0.5,0.0,0.5,0.0,1546,human
AlanaLoko,4.0,False,1188,419,34254,62,6115,0.1666666666666666,0.0,0.1666666666666666,0.0,769,human
AlbertoLusoli,26.0,False,347,599,2124,38,296,0.5,1.8333333333333333,3.25,0.0,-252,human
AldrichLawFirm,4.0,False,284,296,1121,0,278,0.0,0.0,0.0,0.0,-12,human
Alessandraville,2.0,True,107570,1019,18961,204,2447,0.0,0.0,3.0,0.0,106551,human
AlexBewleyAI,60.0,False,271,394,84,6,3,0.3111111111111111,0.6888888888888889,4.688888888888889,0.0,-123,bot
AlexChancexxx,4.0,True,185331,5113,90173,732,7559,2.625,6.5,79.25,0.0,180218,human
AlexCrawfordSky,26.0,True,123638,3448,14894,1486,505,1.8333333333333333,8.0,31.33333333333333,0.1666666666666666,120190,human
AlexRoyEvents,41.0,False,375,1674,9500,9,93,0.0196078431372549,0.0,0.803921568627451,0.0,-1299,bot
AlexWVC,24.0,False,438,990,94753,1,54,1.064516129032258,3.096774193548387,160.25806451612902,0.8709677419354839,-552,bot
AlexandraFansWW,45.0,False,428,541,525,2,55,1.4411764705882353,4.5,19.5,0.2058823529411764,-113,bot
Alexis_Sanchez,4.0,True,2925661,31,821,3700,151,85.0,21.0,395.0,16.5,2925630,human
AleyaWhaaatt,8.0,False,1413,938,99913,6,2634,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.0,475,human
AlfieBoe,32.0,True,120009,427,8657,538,1072,18.444444444444443,15.22222222222222,196.0,3.0,119582,human
AlgebraFact,30.0,False,164224,20,11135,2383,1011,1.1428571428571428,9.857142857142858,73.57142857142857,0.8571428571428571,164204,human
AliRogin,13.0,True,35971,10419,24294,985,1135,1.3333333333333333,1.0,9.166666666666666,0.1666666666666666,25552,human
AliZafarsays,14.0,True,3255926,47,14694,1534,2501,151.25,2379.5,14304.25,58.0,3255879,human
Ali_k2066,17.0,False,10,170,59,0,1,0.25,0.0,0.55,0.1,-160,bot
AliceDreger,16.0,True,31895,3770,54338,636,2946,1.5454545454545454,1.0909090909090908,11.727272727272728,0.2727272727272727,28125,human
AliensUfos1,2.0,False,309,773,11,0,6,0.0,3.0,6.0,0.0,-464,human
AlisaT72,13.0,False,190,898,241,0,19,0.1666666666666666,0.0,0.8333333333333334,0.0,-708,human
AlisonSudol,21.0,True,1506575,854,8995,4932,708,3.2857142857142856,8.714285714285714,79.42857142857143,1.0,1505721,human
AllenIPnews,22.0,False,1033,2509,175,36,0,0.0,0.5,0.1666666666666666,0.0,-1476,human
AllieMatye,8.0,False,612,621,4279,2,495,0.0,0.7777777777777778,4.0,0.1111111111111111,-9,human
AlliemalCNN,19.0,True,14977,1195,4605,351,336,1.0,1.2,33.9,0.3,13782,human
AllisonJones_02,3.0,False,113,44,3032,0,1,0.0,0.0,0.6666666666666666,0.0,69,bot
Allison_McEnroe,13.0,False,743,339,9456,2,242,0.3636363636363636,0.7272727272727273,2.727272727272727,0.1818181818181818,404,human
Allison_Thorsen,19.0,False,56,174,78,1,8,0.1,0.0,5.5,0.0,-118,bot
AlphaCaelum45,365.0,False,1014,3357,88906,128,1115,0.5862068965517241,0.1724137931034483,0.4482758620689655,0.0,-2343,bot
Alpna2712,22.0,False,39,497,46,0,5,0.1428571428571428,0.0,1.8571428571428568,0.0,-458,human
Alspyro97,5.0,False,181,79,7649,0,179,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,102,human
Alu57202,15.0,False,468,2185,287,2,12,0.5454545454545454,0.5454545454545454,5.545454545454546,0.2727272727272727,-1717,human
Amala_ams,14.0,True,2292119,110,6055,869,956,84.28571428571429,225.0,4490.0,13.714285714285714,2292009,human
AmandaJMcGill,16.0,False,3697,3652,1956,22,952,0.1818181818181818,0.0,0.6363636363636364,0.0,45,human
AmandaPapp4AI,95.0,False,244,360,848,4,81,0.34,0.24,4.9,0.04,-116,bot
AmandaRachellle,39.0,False,131,152,3566,1,29,0.1666666666666666,0.125,1.0833333333333333,0.0,-21,bot
AmaniAbraham,11.0,False,2192,794,3023,43,1104,0.2,0.8,1.6,0.0,1398,human
AmazingGracie20,2.0,False,549,749,22587,0,1820,0.0,0.0,0.5,0.0,-200,human
AmbAhluwalia,57.0,False,651,209,199,2,46,1.0,1.9,16.5,0.7,442,human
AmberZhong,5.0,False,29,58,388,1,0,0.75,0.0,2.25,0.0,-29,bot
AmeliaLilyOffic,25.0,True,634161,798,10884,713,646,2.888888888888889,1.1111111111111112,32.22222222222222,3.7777777777777777,633363,human
AmelyGalicia,9.0,False,674,1193,8610,2,248,0.0,0.5714285714285714,2.0,0.0,-519,human
AmerDelirium,27.0,False,3991,324,10452,71,407,0.0,8.375,18.25,1.0,3667,human
AmerMedicalAssn,23.0,True,752221,6774,41194,7140,5130,0.6,3.1,4.9,0.4,745447,human
AmherstCollege,20.0,True,18927,572,11098,400,2208,0.4285714285714285,1.5714285714285714,11.428571428571429,0.2857142857142857,18355,human
AmserYchwanegol,10.0,False,864,964,1513,0,56,0.125,0.125,2.125,0.0,-100,human
AmyLeighJD,5.0,False,267,2207,9889,19,233,3.2,4.4,160.2,0.0,-1940,human
AmyStrommer,18.0,False,232,356,120,0,7,0.5,0.3333333333333333,1.6666666666666667,0.0,-124,human
AmyWeller14,9.0,False,80,111,166,5,14,0.0,0.4,1.4,0.0,-31,human
Ana3rabeya,19.0,True,43431,10935,70662,332,2123,0.4,0.2,1.2,0.0,32496,human
AnahitaSeda,7.0,True,5854,455,9980,74,866,0.8,0.0,2.2,0.0,5399,human
AnamIbrahim4,0.0,False,165,2572,232,0,2,0.0,0.0,0.0,0.0,-2407,human
AnarrestiName,43.0,False,24,11,1623,2,0,0.0263157894736842,0.0,0.0,0.0,13,bot
AnchoredIn3rdGr,13.0,False,1169,1595,8327,17,454,0.6666666666666666,0.0,0.5,0.0,-426,human
AndSiem,25.0,False,990,2487,255,7,4,0.0,0.3333333333333333,0.2222222222222222,0.0,-1497,human
AndeeConstine,9.0,False,1594,793,3963,72,155,0.5714285714285714,0.0,1.4285714285714286,0.0,801,human
AndreBarrette1,124.0,False,8522,9351,365,32,85,0.0384615384615384,0.0576923076923076,0.5769230769230769,0.0,-829,bot
AndreSobolewski,27.0,False,534,250,24270,6,1401,0.0714285714285714,0.1428571428571428,0.5,0.0,284,human
AndresPlazaR,4.0,False,990,1028,34871,45,1238,0.4285714285714285,0.0,3.571428571428572,0.0,-38,human
AndrewH82135416,3.0,False,2691,1563,3036,0,10,0.0,0.0,0.0,0.0,1128,human
AndrewLehm,11.0,False,354,355,94,8,26,0.7777777777777778,0.1111111111111111,3.4444444444444446,0.0,-1,human
AndrewM32977472,6.0,False,32,260,12,0,0,0.0,0.0,0.4444444444444444,0.0,-228,bot
AndrewVoirol,24.0,False,1336,4969,7159,28,651,0.3333333333333333,0.0,0.3333333333333333,0.1111111111111111,-3633,human
AndrewYNg,18.0,True,700800,642,1464,9121,260,36.0,112.41666666666669,1259.6666666666667,8.583333333333334,700158,human
Andrew_French,56.0,False,333,373,265,6,8,0.0961538461538461,1.5,1.7692307692307692,0.0384615384615384,-40,bot
AndroidDev,21.0,True,2198162,386,6317,16298,2347,1.0,10.9,68.1,0.4,2197776,human
AndyHeatherUK,8.0,False,2834,3219,7897,22,2404,0.25,0.0,0.75,0.0,-385,human
AnetteMFrank,58.0,False,606,296,72,15,1,0.5,0.78125,8.4375,0.1875,310,bot
Angel_Most13,3.0,False,776,500,55975,9,3141,0.3333333333333333,0.0,0.3333333333333333,0.0,276,human
AngelaBelcamino,11.0,False,219678,75409,28180,824,506,92.64285714285714,32.285714285714285,462.2857142857143,5.285714285714286,144269,human
AngelaMorgann,7.0,False,259,1573,68,1,11,0.0,0.25,1.5,0.0,-1314,human
AngeliqueNadine,4.0,False,9357,102,9835,102,400,0.3,0.0,0.6,0.0,9255,human
AnikaNoniRose,17.0,True,135151,2647,60271,742,1833,0.7,1.5,10.1,0.1,132504,human
Ankeiscool_,37.0,False,119,456,3223,4,3,0.05,0.075,0.025,0.0,-337,bot
AnkitHans15,6.0,False,91,277,42,0,13,0.6666666666666666,1.0,4.0,0.3333333333333333,-186,human
AnnLynchlucas,18.0,False,455,393,10449,29,135,0.125,0.25,1.9375,0.0625,62,human
AnnaJMcDougall,27.0,False,27872,1618,18542,294,2826,1.2857142857142858,0.1428571428571428,11.357142857142858,0.0,26254,human
AnnaMeierPS,43.0,False,11529,2334,21755,105,907,1.3846153846153846,1.6153846153846154,16.307692307692307,0.5384615384615384,9195,human
AnnaStjernquist,5.0,False,146,461,15,3,11,0.0,2.0,7.75,0.25,-315,human
AnnalynKurtz,33.0,True,9023,6435,8391,422,428,0.7272727272727273,0.4545454545454545,1.3636363636363635,0.1818181818181818,2588,human
AnneGlenn74,37.0,False,1287,1442,137357,54,16987,0.25,0.0833333333333333,0.25,0.0,-155,human
AnnforJustice,16.0,False,4702,4849,27005,93,126,0.0909090909090909,0.3636363636363636,1.181818181818182,0.0,-147,human
Annie_Andersen,11.0,True,17796,1610,12498,239,3744,0.7142857142857143,0.0,1.4285714285714286,0.0,16186,human
AnshhRathod,15.0,False,274,464,1548,2,198,0.6363636363636364,0.0,1.4545454545454546,0.0,-190,human
AnthonyHopkins,11.0,True,1019876,55,662,2070,416,1.0,0.375,14.0,0.0,1019821,human
AnthonyMendoza_,5.0,False,220,337,6368,0,268,0.4285714285714285,0.0,1.1428571428571428,0.0,-117,human
AnthonyPalmieri,20.0,False,298,210,824,1,49,0.0,0.0,0.5,0.0,88,human
AnthropicAI,22.0,False,18123,13,93,237,36,1.3333333333333333,7.666666666666667,52.77777777777778,3.111111111111111,18110,human
AntiBoysRecords,6.0,False,454,828,30706,3,815,0.0,0.2,0.4,0.0,-374,human
AntonioCugini,25.0,False,326,598,2356,11,366,0.0833333333333333,0.0,0.8333333333333334,0.0,-272,human
AntonioTarver,16.0,True,57677,2532,21214,288,4288,1.0,0.75,4.75,0.25,55145,human
AntonnioM_,11.0,False,408,196,93645,5,686,0.0909090909090909,0.0,0.0909090909090909,0.0,212,human
Anup_Patel,15.0,False,562,1095,67515,14,1290,0.2222222222222222,0.3333333333333333,5.222222222222222,0.0,-533,human
